date,ward,cholera_cases,typhoid_cases,dysentery_cases,hepatitis_cases
08-01-2020,Gandhipuram,9,10,11,5
08-01-2020,RS Puram,5,7,1,2
08-01-2020,Saibaba Colony,3,8,2,5
08-01-2020,Peelamedu,6,5,3,5
08-01-2020,Singanallur,11,19,2,7
08-01-2020,Saravanampatti,13,16,13,11
08-01-2020,Race Course,13,10,10,6
08-01-2020,Ukkadam,1,10,5,3
08-01-2020,Town Hall,8,5,3,3
08-01-2020,Kuniyamuthur,6,9,7,1
08-01-2020,Sundarapuram,12,7,7,11
08-01-2020,Podanur,2,3,1,0
08-01-2020,Thudiyalur,6,9,9,3
08-01-2020,Vadakovai,5,8,13,9
08-01-2020,Ganapathy,14,14,14,5
08-01-2020,Kalapatti,15,29,20,9
08-01-2020,Kovaipudur,9,11,9,5
08-01-2020,Selvapuram,9,7,1,1
08-01-2020,Kurichi,6,6,6,7
08-01-2020,Vadavalli,8,23,9,4
15-01-2020,Gandhipuram,8,18,12,9
15-01-2020,RS Puram,3,7,4,3
15-01-2020,Saibaba Colony,15,13,13,12
15-01-2020,Peelamedu,10,15,6,4
15-01-2020,Singanallur,13,19,19,4
15-01-2020,Saravanampatti,19,29,10,17
15-01-2020,Race Course,16,16,18,8
15-01-2020,Ukkadam,13,15,7,3
15-01-2020,Town Hall,4,13,5,7
15-01-2020,Kuniyamuthur,9,2,14,4
15-01-2020,Sundarapuram,11,12,10,8
15-01-2020,Podanur,5,4,1,0
15-01-2020,Thudiyalur,10,5,9,1
15-01-2020,Vadakovai,8,14,15,14
15-01-2020,Ganapathy,12,16,22,6
15-01-2020,Kalapatti,17,13,21,12
15-01-2020,Kovaipudur,13,17,9,10
15-01-2020,Selvapuram,9,8,10,9
15-01-2020,Kurichi,8,16,9,10
15-01-2020,Vadavalli,22,15,12,9
22-01-2020,Gandhipuram,7,10,6,4
22-01-2020,RS Puram,10,3,6,7
22-01-2020,Saibaba Colony,9,19,9,3
22-01-2020,Peelamedu,13,8,8,1
22-01-2020,Singanallur,14,18,14,12
22-01-2020,Saravanampatti,18,16,15,17
22-01-2020,Race Course,13,14,10,4
22-01-2020,Ukkadam,10,9,11,6
22-01-2020,Town Hall,6,6,6,6
22-01-2020,Kuniyamuthur,3,9,7,4
22-01-2020,Sundarapuram,14,15,8,10
22-01-2020,Podanur,7,2,6,2
22-01-2020,Thudiyalur,5,6,4,8
22-01-2020,Vadakovai,13,17,9,7
22-01-2020,Ganapathy,14,11,13,7
22-01-2020,Kalapatti,24,26,26,15
22-01-2020,Kovaipudur,10,9,7,5
22-01-2020,Selvapuram,3,8,7,5
22-01-2020,Kurichi,13,19,7,11
22-01-2020,Vadavalli,10,9,16,10
29-01-2020,Gandhipuram,7,16,17,9
29-01-2020,RS Puram,10,10,12,5
29-01-2020,Saibaba Colony,4,6,11,7
29-01-2020,Peelamedu,9,8,8,3
29-01-2020,Singanallur,17,21,15,12
29-01-2020,Saravanampatti,20,17,18,9
29-01-2020,Race Course,11,15,8,8
29-01-2020,Ukkadam,5,15,7,6
29-01-2020,Town Hall,12,15,5,3
29-01-2020,Kuniyamuthur,10,5,7,4
29-01-2020,Sundarapuram,15,17,5,8
29-01-2020,Podanur,4,3,4,2
29-01-2020,Thudiyalur,4,9,7,7
29-01-2020,Vadakovai,14,13,10,12
29-01-2020,Ganapathy,12,21,13,13
29-01-2020,Kalapatti,21,31,18,19
29-01-2020,Kovaipudur,10,14,12,12
29-01-2020,Selvapuram,8,10,4,4
29-01-2020,Kurichi,17,12,6,5
29-01-2020,Vadavalli,11,16,15,9
05-02-2020,Gandhipuram,10,8,10,5
05-02-2020,RS Puram,9,8,9,6
05-02-2020,Saibaba Colony,6,3,10,4
05-02-2020,Peelamedu,5,10,10,4
05-02-2020,Singanallur,7,13,11,11
05-02-2020,Saravanampatti,23,28,17,12
05-02-2020,Race Course,18,17,14,4
05-02-2020,Ukkadam,10,14,8,8
05-02-2020,Town Hall,3,8,11,5
05-02-2020,Kuniyamuthur,8,13,5,4
05-02-2020,Sundarapuram,11,8,8,6
05-02-2020,Podanur,5,5,8,6
05-02-2020,Thudiyalur,10,21,2,7
05-02-2020,Vadakovai,6,13,6,9
05-02-2020,Ganapathy,11,18,9,6
05-02-2020,Kalapatti,21,33,24,14
05-02-2020,Kovaipudur,8,6,9,6
05-02-2020,Selvapuram,7,10,5,3
05-02-2020,Kurichi,4,9,15,7
05-02-2020,Vadavalli,8,17,7,5
12-02-2020,Gandhipuram,13,14,13,13
12-02-2020,RS Puram,6,5,2,3
12-02-2020,Saibaba Colony,9,11,14,5
12-02-2020,Peelamedu,5,9,10,9
12-02-2020,Singanallur,10,14,13,7
12-02-2020,Saravanampatti,27,20,15,15
12-02-2020,Race Course,8,18,9,4
12-02-2020,Ukkadam,11,8,8,4
12-02-2020,Town Hall,6,8,8,5
12-02-2020,Kuniyamuthur,6,14,12,2
12-02-2020,Sundarapuram,12,19,10,7
12-02-2020,Podanur,5,5,8,2
12-02-2020,Thudiyalur,7,4,6,4
12-02-2020,Vadakovai,9,11,7,10
12-02-2020,Ganapathy,12,18,5,9
12-02-2020,Kalapatti,14,24,19,12
12-02-2020,Kovaipudur,9,12,6,3
12-02-2020,Selvapuram,6,4,5,5
12-02-2020,Kurichi,11,14,8,3
12-02-2020,Vadavalli,17,14,10,11
19-02-2020,Gandhipuram,10,14,9,5
19-02-2020,RS Puram,3,4,6,5
19-02-2020,Saibaba Colony,7,12,6,6
19-02-2020,Peelamedu,7,12,3,4
19-02-2020,Singanallur,12,14,12,9
19-02-2020,Saravanampatti,19,22,26,5
19-02-2020,Race Course,14,12,10,7
19-02-2020,Ukkadam,5,7,9,5
19-02-2020,Town Hall,4,9,9,6
19-02-2020,Kuniyamuthur,5,13,16,3
19-02-2020,Sundarapuram,10,15,15,6
19-02-2020,Podanur,4,6,4,3
19-02-2020,Thudiyalur,8,17,5,1
19-02-2020,Vadakovai,11,15,11,6
19-02-2020,Ganapathy,12,10,10,8
19-02-2020,Kalapatti,22,24,19,8
19-02-2020,Kovaipudur,8,8,7,6
19-02-2020,Selvapuram,7,8,8,11
19-02-2020,Kurichi,15,18,11,12
19-02-2020,Vadavalli,11,10,8,6
26-02-2020,Gandhipuram,16,17,18,6
26-02-2020,RS Puram,10,8,8,3
26-02-2020,Saibaba Colony,14,14,5,13
26-02-2020,Peelamedu,5,15,7,11
26-02-2020,Singanallur,21,24,11,10
26-02-2020,Saravanampatti,21,23,23,12
26-02-2020,Race Course,13,10,7,6
26-02-2020,Ukkadam,6,9,5,9
26-02-2020,Town Hall,7,7,9,7
26-02-2020,Kuniyamuthur,5,8,6,3
26-02-2020,Sundarapuram,15,18,12,3
26-02-2020,Podanur,5,7,3,2
26-02-2020,Thudiyalur,9,12,7,8
26-02-2020,Vadakovai,8,17,13,10
26-02-2020,Ganapathy,13,15,16,12
26-02-2020,Kalapatti,21,26,17,14
