date,ward,rainfall_mm
2020-01-01,Gandhipuram,2.8
2020-01-01,RS Puram,0.5
2020-01-01,Saibaba Colony,1.0
2020-01-01,Peelamedu,1.4
2020-01-01,Singanallur,1.8
2020-01-01,Saravanampatti,4.6
2020-01-01,Race Course,0.7
2020-01-01,Ukkadam,2.2
2020-01-01,Town Hall,2.7
2020-01-01,Kuniyamuthur,0.1
2020-01-01,Sundarapuram,2.8
2020-01-01,Podanur,0.6
2020-01-01,Thudiyalur,0.2
2020-01-01,Vadakovai,8.9
2020-01-01,Ganapathy,10.1
2020-01-01,Kalapatti,5.0
2020-01-01,Kovaipudur,1.1
2020-01-01,Selvapuram,0.3
2020-01-01,Kurichi,3.5
2020-01-01,Vadavalli,1.7
2020-01-02,Gandhipuram,0.4
2020-01-02,RS Puram,2.1
2020-01-02,Saibaba Colony,0.1
2020-01-02,Peelamedu,7.2
2020-01-02,Singanallur,0.9
2020-01-02,Saravanampatti,3.3
2020-01-02,Race Course,1.1
2020-01-02,Ukkadam,2.2
2020-01-02,Town Hall,2.4
2020-01-02,Kuniyamuthur,0.6
2020-01-02,Sundarapuram,10.5
2020-01-02,Podanur,4.5
2020-01-02,Thudiyalur,8.4
2020-01-02,Vadakovai,6.8
2020-01-02,Ganapathy,2.7
2020-01-02,Kalapatti,7.6
2020-01-02,Kovaipudur,0.3
2020-01-02,Selvapuram,0.7
2020-01-02,Kurichi,0.1
2020-01-02,Vadavalli,1.2
2020-01-03,Gandhipuram,1.5
2020-01-03,RS Puram,0.9
2020-01-03,Saibaba Colony,5.3
2020-01-03,Peelamedu,1.3
2020-01-03,Singanallur,1.0
2020-01-03,Saravanampatti,2.3
2020-01-03,Race Course,0.5
2020-01-03,Ukkadam,4.9
2020-01-03,Town Hall,0.2
2020-01-03,Kuniyamuthur,13.0
2020-01-03,Sundarapuram,4.4
2020-01-03,Podanur,0.7
2020-01-03,Thudiyalur,0.0
2020-01-03,Vadakovai,5.1
2020-01-03,Ganapathy,3.7
2020-01-03,Kalapatti,3.9
2020-01-03,Kovaipudur,4.4
2020-01-03,Selvapuram,0.2
2020-01-03,Kurichi,1.3
2020-01-03,Vadavalli,0.4
2020-01-04,Gandhipuram,6.0
2020-01-04,RS Puram,2.9
2020-01-04,Saibaba Colony,1.2
2020-01-04,Peelamedu,0.2
2020-01-04,Singanallur,1.1
2020-01-04,Saravanampatti,1.2
2020-01-04,Race Course,3.9
2020-01-04,Ukkadam,3.0
2020-01-04,Town Hall,6.5
2020-01-04,Kuniyamuthur,1.9
2020-01-04,Sundarapuram,0.4
2020-01-04,Podanur,3.7
2020-01-04,Thudiyalur,4.3
2020-01-04,Vadakovai,2.5
2020-01-04,Ganapathy,4.4
2020-01-04,Kalapatti,2.0
2020-01-04,Kovaipudur,2.2
2020-01-04,Selvapuram,1.7
2020-01-04,Kurichi,0.1
2020-01-04,Vadavalli,0.3
2020-01-05,Gandhipuram,0.1
2020-01-05,RS Puram,3.0
2020-01-05,Saibaba Colony,1.1
2020-01-05,Peelamedu,2.1
2020-01-05,Singanallur,7.1
2020-01-05,Saravanampatti,0.9
2020-01-05,Race Course,1.6
2020-01-05,Ukkadam,4.2
2020-01-05,Town Hall,0.8
2020-01-05,Kuniyamuthur,0.2
2020-01-05,Sundarapuram,1.0
2020-01-05,Podanur,0.5
2020-01-05,Thudiyalur,8.0
2020-01-05,Vadakovai,5.0
2020-01-05,Ganapathy,3.0
2020-01-05,Kalapatti,6.2
2020-01-05,Kovaipudur,4.9
