date,ward,chlorine_mgL,turbidity_NTU
2020-01-01,Gandhipuram,0.32,5.6
2020-01-01,RS Puram,0.59,4.0
2020-01-01,Saibaba Colony,0.47,5.6
2020-01-01,Peelamedu,0.44,3.4
2020-01-01,Singanallur,0.28,3.8
2020-01-01,Saravanampatti,0.1,4.6
2020-01-01,Race Course,0.09,3.9
2020-01-01,Ukkadam,0.55,3.8
2020-01-01,Town Hall,0.48,4.4
2020-01-01,Kuniyamuthur,0.46,2.0
2020-01-01,Sundarapuram,0.05,6.2
2020-01-01,Podanur,0.54,3.6
2020-01-01,Thudiyalur,0.75,3.5
2020-01-01,Vadakovai,0.06,9.5
2020-01-01,Ganapathy,0.05,7.9
2020-01-01,Kalapatti,0.07,5.2
2020-01-01,Kovaipudur,0.51,5.0
2020-01-01,Selvapuram,0.6,2.3
2020-01-01,Kurichi,0.41,4.7
2020-01-01,Vadavalli,0.05,4.2
2020-01-08,Gandhipuram,0.05,18.8
2020-01-08,RS Puram,0.41,17.6
2020-01-08,Saibaba Colony,0.34,13.4
2020-01-08,Peelamedu,0.2,11.7
2020-01-08,Singanallur,0.05,11.4
2020-01-08,Saravanampatti,0.05,15.3
2020-01-08,Race Course,0.09,14.4
2020-01-08,Ukkadam,0.14,18.4
2020-01-08,Town Hall,0.14,14.1
2020-01-08,Kuniyamuthur,0.05,18.6
2020-01-08,Sundarapuram,0.05,23.5
2020-01-08,Podanur,0.46,12.3
2020-01-08,Thudiyalur,0.29,16.1
2020-01-08,Vadakovai,0.05,21.7
2020-01-08,Ganapathy,0.05,32.9
2020-01-08,Kalapatti,0.05,17.7
2020-01-08,Kovaipudur,0.21,30.0
2020-01-08,Selvapuram,0.23,12.9
2020-01-08,Kurichi,0.27,17.6
2020-01-08,Vadavalli,0.16,18.2
2020-01-15,Gandhipuram,0.19,18.1
2020-01-15,RS Puram,0.05,23.9
2020-01-15,Saibaba Colony,0.05,18.4
2020-01-15,Peelamedu,0.05,16.4
2020-01-15,Singanallur,0.05,14.6
2020-01-15,Saravanampatti,0.05,23.3
2020-01-15,Race Course,0.05,19.4
2020-01-15,Ukkadam,0.08,22.9
2020-01-15,Town Hall,0.05,19.0
2020-01-15,Kuniyamuthur,0.18,12.5
2020-01-15,Sundarapuram,0.07,13.1
